GEOGRAPHY,ECODE,AREA_NAME,BAND,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
REGL,E12000006,EAST,D,"38,780","12,790","17,270","41,430","32,940","70,500","58,420","47,070","36,980","34,160","43,500","17,370","4,230","455,430"
REGL,E12000006,EAST,E,"27,860","7,680","9,730","26,070","10,690","34,420","28,630","30,000","30,190","27,950","29,220","11,360","3,390","277,190"
REGL,E12000006,EAST,F,"19,750","4,560","5,890","12,090","5,500","16,450","13,940","15,430","15,750","17,580","15,730","5,710","2,260","150,640"
REGL,E12000006,EAST,G,"21,010","4,090","4,320","8,390","3,850","10,240","7,620","7,810","7,930","10,110","9,940","3,590","2,190","101,090"
REGL,E12000006,EAST,H,"3,900",650,630,"1,260",280,670,340,420,600,980,"1,620",820,830,"13,020"
REGL,E12000007,LONDON,All,"781,700","311,490","236,900","610,610","193,480","244,100","221,410","215,140","158,370","122,800","231,540","117,890","41,150","3,486,580"
REGL,E12000007,LONDON,A,"25,900","7,040","4,250","8,630","9,280","16,590","26,330","11,870","3,100","1,950","4,930","5,370","4,040","129,270"
REGL,E12000007,LONDON,B,"90,600","32,770","12,100","42,550","39,800","60,950","56,940","53,810","30,040","12,420","20,040","10,870","8,240","471,130"
REGL,E12000007,LONDON,C,"204,490","81,300","65,290","109,820","66,640","78,680","67,170","74,710","54,450","31,380","66,680","32,330","10,260","943,210"
REGL,E12000007,LONDON,D,"187,290","80,590","69,220","203,500","48,750","43,560","37,530","45,510","33,900","33,760","63,340","34,430","8,120","889,510"
REGL,E12000007,LONDON,E,"111,590","48,970","44,590","152,500","16,140","21,600","15,710","14,850","16,080","19,050","38,430","19,690","4,530","523,730"
REGL,E12000007,LONDON,F,"66,150","30,990","22,430","58,440","6,640","10,610","7,710","6,480","9,600","11,450","20,950","8,490","2,410","262,340"
REGL,E12000007,LONDON,G,"67,660","25,390","15,600","30,160","5,230","9,610","8,180","6,570","9,010","9,880","12,600","4,600","2,190","206,680"
REGL,E12000007,LONDON,H,"28,030","4,430","3,430","5,010","1,000","2,500","1,850","1,340","2,180","2,900","4,570","2,110","1,380","60,710"
REGL,E12000008,SOUTH EAST,All,"527,370","159,190","155,940","333,860","247,950","485,270","428,170","413,540","363,510","207,140","295,100","114,760","51,020","3,782,800"
REGL,E12000008,SOUTH EAST,A,"84,900","14,830","5,300","8,200","17,450","38,220","37,590","41,890","33,720","15,900","20,390","8,630","7,850","334,880"
REGL,E12000008,SOUTH EAST,B,"118,970","36,010","25,000","34,550","48,130","59,150","63,600","80,660","73,000","22,560","45,230","17,300","6,450","630,590"
REGL,E12000008,SOUTH EAST,C,"100,390","38,290","44,660","92,930","85,470","119,340","122,290","117,130","93,640","48,640","76,270","30,530","8,180","977,770"
REGL,E12000008,SOUTH EAST,D,"77,690","28,680","33,310","81,900","52,500","125,570","96,720","69,170","57,210","39,280","65,770","26,390","7,050","761,240"
REGL,E12000008,SOUTH EAST,E,"52,660","18,810","20,650","57,700","21,310","77,100","56,120","51,560","49,970","32,770","39,580","14,260","6,420","498,910"
REGL,E12000008,SOUTH EAST,F,"36,060","10,130","12,700","30,780","12,720","39,330","31,300","31,570","32,970","25,820","24,700","8,250","5,600","301,930"
REGL,E12000008,SOUTH EAST,G,"45,640","10,270","12,200","24,550","9,560","24,960","19,400","20,400","21,480","19,890","19,040","7,160","7,320","241,860"
REGL,E12000008,SOUTH EAST,H,"11,060","2,160","2,130","3,250",810,"1,600","1,160","1,150","1,520","2,280","4,140","2,230","2,150","35,640"
