G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LSOA,E01002990,10,10,0,2.5,0,0,0,10,2.5,0,20,10,2.5,50
LSOA,E01002990,0,2.5,10,2.5,0,0,40,2.5,2.5,0,2.5,0,0,60
LSOA,E01002990,10,10,0,2.5,0,0,0,0,0,0,0,0,0,20
LSOA,E01002990,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01002991,100,160,80,160,2.5,100,40,20,10,2.5,10,0,0,680
LSOA,E01002991,2.5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01002991,10,10,0,2.5,0,0,0,0,0,0,0,0,0,30
LSOA,E01002991,40,80,2.5,30,0,30,2.5,0,0,0,0,0,0,180
LSOA,E01002991,20,10,2.5,0,0,60,20,10,10,0,0,0,0,130
LSOA,E01002991,0,2.5,40,80,2.5,2.5,10,0,2.5,0,0,0,0,140
LSOA,E01002991,2.5,20,30,30,2.5,10,10,2.5,2.5,0,10,0,0,110
LSOA,E01002991,30,30,10,10,0,2.5,0,0,0,2.5,0,0,0,80
LSOA,E01002991,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01002992,2.5,60,130,140,2.5,30,0,60,2.5,2.5,10,2.5,2.5,450
LSOA,E01002992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002992,0,10,0,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01002992,0,10,2.5,30,0,10,0,60,2.5,0,0,0,0,120
LSOA,E01002992,2.5,20,60,90,0,10,0,2.5,0,0,2.5,0,2.5,180
LSOA,E01002992,0,10,60,20,2.5,10,0,2.5,0,0,0,0,0,100
LSOA,E01002992,0,10,10,0,0,2.5,0,2.5,0,2.5,10,2.5,0,30
LSOA,E01002992,2.5,10,2.5,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01002992,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01002993,70,60,10,0,0,230,230,230,20,2.5,30,0,0,870
LSOA,E01002993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002993,2.5,10,0,0,0,0,0,2.5,0,0,0,0,0,10
LSOA,E01002993,10,30,0,0,0,50,150,110,20,0,2.5,0,0,360
LSOA,E01002993,10,10,2.5,0,0,180,70,110,10,0,10,0,0,400
LSOA,E01002993,40,2.5,2.5,0,0,2.5,0,0,0,0,20,0,0,60
LSOA,E01002993,10,10,0,0,0,2.5,10,2.5,0,2.5,2.5,0,0,30
LSOA,E01002993,2.5,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01002993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002994,140,40,20,100,10,150,10,70,50,0,20,10,2.5,620
LSOA,E01002994,0,0,0,0,0,2.5,2.5,0,2.5,0,0,0,0,2.5
LSOA,E01002994,10,2.5,0,0,0,10,0,0,0,0,0,0,0,20
LSOA,E01002994,40,20,0,20,0,60,0,0,20,0,0,10,2.5,150
LSOA,E01002994,20,10,2.5,20,0,50,0,20,10,0,20,0,0,140
LSOA,E01002994,10,2.5,10,30,2.5,2.5,2.5,0,2.5,0,2.5,0,0,60
LSOA,E01002994,10,10,2.5,10,2.5,20,10,30,10,0,2.5,0,0,90
LSOA,E01002994,30,10,2.5,20,2.5,20,10,30,20,0,0,0,0,130
LSOA,E01002994,20,2.5,2.5,10,0,0,0,0,0,0,2.5,2.5,0,30
LSOA,E01002995,90,50,60,80,10,90,70,80,2.5,90,10,30,10,670
LSOA,E01002995,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01002995,10,0,2.5,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01002995,40,10,10,2.5,0,30,20,10,0,0,0,10,10,130
LSOA,E01002995,20,10,2.5,2.5,2.5,10,50,10,0,30,10,10,2.5,150
LSOA,E01002995,10,10,10,2.5,0,10,0,2.5,2.5,20,0,0,0,50
LSOA,E01002995,2.5,10,2.5,2.5,0,10,2.5,40,2.5,10,0,2.5,0,80
LSOA,E01002995,10,20,20,60,10,40,2.5,20,2.5,40,0,0,2.5,210
LSOA,E01002995,10,10,10,2.5,2.5,0,0,0,2.5,0,2.5,2.5,0,40
LSOA,E01002996,250,170,20,20,30,20,10,20,10,20,20,2.5,2.5,580
LSOA,E01002996,0,2.5,0,0,0,0,0,2.5,0,0,2.5,0,0,2.5
LSOA,E01002996,10,20,2.5,2.5,2.5,0,0,0,0,0,0,0,0,30
LSOA,E01002996,50,40,2.5,0,2.5,10,0,10,2.5,0,2.5,0,2.5,120
LSOA,E01002996,60,20,2.5,2.5,10,2.5,2.5,2.5,0,10,10,0,2.5,130
LSOA,E01002996,100,50,10,10,10,2.5,2.5,0,2.5,2.5,2.5,2.5,0,190
LSOA,E01002996,30,30,10,2.5,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,90
LSOA,E01002996,10,10,2.5,0,2.5,0,0,2.5,0,0,0,0,0,30
LSOA,E01002996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002997,240,110,70,60,2.5,30,20,50,2.5,2.5,10,2.5,0,590
LSOA,E01002997,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01002997,10,2.5,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01002997,80,30,0,10,0,10,0,10,0,0,0,0,0,150
LSOA,E01002997,10,20,2.5,2.5,0,10,0,10,0,0,2.5,0,0,70
LSOA,E01002997,80,10,40,20,0,2.5,2.5,2.5,0,0,2.5,0,0,160
LSOA,E01002997,40,10,30,10,2.5,10,20,20,2.5,0,2.5,0,0,130
LSOA,E01002997,20,30,2.5,10,0,2.5,0,2.5,2.5,2.5,0,2.5,0,70
LSOA,E01002997,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01002998,120,120,110,40,20,10,140,20,10,20,10,10,2.5,620
LSOA,E01002998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002998,10,2.5,2.5,0,0,0,20,0,0,0,0,2.5,0,30
LSOA,E01002998,30,20,20,10,10,0,120,10,10,10,0,2.5,0,240
LSOA,E01002998,60,70,40,20,0,10,2.5,2.5,0,0,0,2.5,0,200
LSOA,E01002998,30,30,40,10,10,2.5,2.5,2.5,0,10,2.5,0,2.5,140
LSOA,E01002998,2.5,10,10,2.5,0,2.5,0,0,0,0,2.5,0,0,20
LSOA,E01002998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01002999,100,70,2.5,70,10,170,100,70,90,10,20,0,2.5,710
LSOA,E01002999,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5
LSOA,E01002999,20,20,2.5,2.5,0,0,0,10,30,0,0,0,0,90
LSOA,E01002999,40,30,2.5,60,10,130,80,30,50,0,2.5,0,2.5,450
LSOA,E01002999,20,10,0,2.5,0,30,10,20,2.5,10,20,0,0,110
LSOA,E01002999,10,2.5,0,0,0,10,10,0,0,10,2.5,0,0,30
LSOA,E01002999,0,0,0,2.5,0,10,2.5,0,0,0,0,0,0,10
LSOA,E01002999,10,2.5,2.5,0,0,0,0,0,2.5,0,0,0,0,10
LSOA,E01002999,2.5,0,0,0,2.5,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01003000,20,10,120,310,0,2.5,2.5,40,70,20,2.5,10,2.5,600
LSOA,E01003000,0,0,0,2.5,0,0,0,0,0,10,2.5,10,0,20
LSOA,E01003000,0,2.5,0,2.5,0,0,0,0,30,0,0,0,0,30
LSOA,E01003000,10,2.5,50,2.5,0,0,0,40,10,0,0,0,2.5,110
LSOA,E01003000,10,10,70,230,0,2.5,0,2.5,30,10,0,0,0,360
LSOA,E01003000,2.5,0,2.5,70,0,0,2.5,0,2.5,0,0,0,0,70
LSOA,E01003000,0,0,0,10,0,0,0,0,0,0,0,0,0,10
LSOA,E01003000,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01003000,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01003001,0,0,2.5,590,2.5,20,0,20,2.5,2.5,0,0,0,650
LSOA,E01003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003001,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,10
LSOA,E01003001,0,0,0,30,2.5,20,0,10,2.5,0,0,0,0,60
LSOA,E01003001,0,0,2.5,290,0,10,0,20,0,0,0,0,0,320
LSOA,E01003001,0,0,0,250,2.5,0,0,2.5,0,2.5,0,0,0,260
LSOA,E01003001,0,0,0,10,0,0,0,0,0,0,0,0,0,10
LSOA,E01003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003002,100,30,80,130,20,210,50,100,40,10,20,10,2.5,800
LSOA,E01003002,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01003002,10,10,0,2.5,0,0,30,10,0,0,2.5,0,2.5,50
LSOA,E01003002,20,10,2.5,10,20,80,0,90,30,2.5,10,10,0,260
LSOA,E01003002,70,10,40,70,0,130,30,2.5,10,10,10,0,2.5,370
LSOA,E01003002,2.5,10,30,40,2.5,2.5,0,0,2.5,0,2.5,2.5,0,90
LSOA,E01003002,2.5,2.5,2.5,10,2.5,0,0,0,0,2.5,0,0,0,20
LSOA,E01003002,0,10,0,2.5,0,2.5,0,0,0,0,0,0,0,10
LSOA,E01003002,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01003003,40,60,110,250,50,10,10,2.5,0,50,2.5,60,2.5,650
LSOA,E01003003,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003003,2.5,2.5,10,20,2.5,0,2.5,0,0,0,0,0,0,40
LSOA,E01003003,10,10,20,30,30,10,10,2.5,0,30,0,20,2.5,160
LSOA,E01003003,30,40,20,70,10,0,0,0,0,30,2.5,30,0,230
LSOA,E01003003,2.5,10,70,120,2.5,0,2.5,2.5,0,0,0,10,0,210
LSOA,E01003003,0,0,2.5,2.5,0,0,0,0,0,0,0,2.5,0,10
LSOA,E01003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003004,20,10,60,330,70,40,10,10,50,0,10,2.5,2.5,610
LSOA,E01003004,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01003004,0,0,0,2.5,0,0,0,0,10,0,0,0,0,20
LSOA,E01003004,2.5,2.5,2.5,40,2.5,0,2.5,0,20,0,0,0,0,70
LSOA,E01003004,20,2.5,50,180,40,2.5,0,2.5,10,0,10,2.5,0,330
LSOA,E01003004,2.5,2.5,2.5,70,10,30,2.5,2.5,2.5,0,0,0,0,120
LSOA,E01003004,2.5,0,0,50,10,10,2.5,2.5,0,0,0,0,0,70
LSOA,E01003004,0,0,0,10,0,0,0,0,0,0,0,0,0,10
LSOA,E01003004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003005,0,0,2.5,470,50,50,2.5,0,10,0,0,0,0,580
LSOA,E01003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003005,0,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5
LSOA,E01003005,0,0,0,10,10,30,2.5,0,2.5,0,0,0,0,50
LSOA,E01003005,0,0,0,410,40,0,0,0,0,0,0,0,0,440
LSOA,E01003005,0,0,0,50,2.5,20,0,0,2.5,0,0,0,0,80
LSOA,E01003005,0,0,2.5,2.5,0,2.5,0,0,0,0,0,0,0,2.5
LSOA,E01003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003006,2.5,0,40,190,0,0,2.5,2.5,0,370,20,0,10,630
LSOA,E01003006,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01003006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003006,2.5,0,0,30,0,0,0,0,0,10,0,0,0,50
LSOA,E01003006,0,0,0,40,0,0,2.5,0,0,50,20,0,0,100
LSOA,E01003006,2.5,0,30,80,0,0,0,2.5,0,110,0,0,2.5,220
LSOA,E01003006,0,0,20,40,0,0,0,0,0,70,0,0,2.5,120
LSOA,E01003006,0,0,2.5,2.5,0,0,0,0,0,130,0,0,2.5,130
LSOA,E01003006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003007,0,2.5,0,440,60,30,0,0,10,10,2.5,0,2.5,570
LSOA,E01003007,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01003007,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003007,0,2.5,0,2.5,10,10,0,0,0,0,0,0,2.5,30
LSOA,E01003007,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5
LSOA,E01003007,0,0,0,400,50,20,0,0,0,0,2.5,0,2.5,470
LSOA,E01003007,0,0,0,40,2.5,0,0,0,10,0,2.5,0,0,50
LSOA,E01003007,0,0,0,2.5,0,0,0,0,2.5,10,0,0,0,10
LSOA,E01003007,0,0,0,0,0,0,0,0,0,10,0,0,0,10
LSOA,E01003008,2.5,50,30,430,0,0,0,0,2.5,0,2.5,0,0,510
LSOA,E01003008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003008,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003008,2.5,2.5,2.5,410,0,0,0,0,0,0,0,0,0,410
LSOA,E01003008,2.5,40,30,20,0,0,0,0,2.5,0,2.5,0,0,90
LSOA,E01003008,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003009,30,10,30,240,110,80,10,70,110,40,20,20,2.5,780
LSOA,E01003009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003009,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5
LSOA,E01003009,0,2.5,2.5,50,70,2.5,0,40,30,10,10,10,0,220
LSOA,E01003009,0,2.5,2.5,60,20,30,0,2.5,20,20,0,2.5,0,160
LSOA,E01003009,0,0,2.5,100,10,40,2.5,20,40,2.5,2.5,0,0,210
LSOA,E01003009,0,2.5,10,30,10,10,10,2.5,20,0,10,10,2.5,110
LSOA,E01003009,30,10,20,10,2.5,0,2.5,0,0,20,0,2.5,0,90
LSOA,E01003009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003010,120,100,70,100,2.5,10,2.5,10,120,2.5,30,2.5,2.5,570
LSOA,E01003010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003010,2.5,2.5,0,0,0,0,0,0,0,0,0,0,2.5,10
LSOA,E01003010,10,2.5,0,0,0,2.5,0,0,20,0,2.5,0,0,40
LSOA,E01003010,20,2.5,0,0,0,0,0,10,50,0,10,0,0,80
LSOA,E01003010,2.5,2.5,30,50,0,0,0,0,20,0,10,0,0,110
LSOA,E01003010,20,50,20,50,2.5,2.5,2.5,2.5,10,0,0,0,0,150
LSOA,E01003010,60,50,20,10,0,2.5,0,2.5,30,2.5,2.5,0,0,170
LSOA,E01003010,2.5,0,0,0,0,0,0,0,0,0,10,2.5,0,10
LSOA,E01003011,350,90,10,70,0,110,20,2.5,10,10,0,60,0,730
LSOA,E01003011,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003011,10,10,0,0,0,0,2.5,0,0,0,0,0,0,10
LSOA,E01003011,30,10,0,40,0,0,0,0,10,0,0,2.5,0,80
LSOA,E01003011,100,20,0,20,0,10,0,2.5,2.5,0,0,30,0,180
LSOA,E01003011,90,2.5,2.5,0,0,10,20,0,2.5,10,0,20,0,150
LSOA,E01003011,90,40,2.5,2.5,0,80,2.5,2.5,0,0,0,10,0,230
LSOA,E01003011,30,10,2.5,10,0,10,0,2.5,2.5,0,0,0,0,70
LSOA,E01003011,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003013,50,0,0,30,0,130,0,2.5,2.5,540,230,30,20,1030
LSOA,E01003013,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5
LSOA,E01003013,2.5,0,0,20,0,20,0,0,0,0,0,0,0,40
LSOA,E01003013,10,0,0,10,0,110,0,0,0,0,10,0,0,140
LSOA,E01003013,20,0,0,0,0,0,0,2.5,2.5,10,20,0,0,50
LSOA,E01003013,10,0,0,0,0,0,0,0,0,50,100,10,2.5,180
LSOA,E01003013,2.5,0,0,0,0,0,0,0,2.5,200,80,10,10,300
LSOA,E01003013,2.5,0,0,0,0,0,0,0,0,270,20,0,10,300
LSOA,E01003013,2.5,0,0,0,0,0,0,0,0,20,0,0,0,20
LSOA,E01003014,230,0,50,170,20,0,40,140,10,30,20,2.5,2.5,710
LSOA,E01003014,20,0,0,40,0,0,0,2.5,0,0,0,0,0,50
LSOA,E01003014,20,0,2.5,100,10,0,40,2.5,10,0,0,0,0,180
LSOA,E01003014,80,0,2.5,40,10,0,0,100,0,10,2.5,0,2.5,240
LSOA,E01003014,40,0,40,0,0,0,0,40,0,0,10,2.5,0,140
LSOA,E01003014,20,0,0,0,0,0,0,0,0,10,2.5,0,2.5,20
LSOA,E01003014,40,0,0,0,0,0,0,0,10,2.5,0,0,0,50
LSOA,E01003014,10,0,0,0,0,0,0,0,2.5,10,2.5,0,0,20
LSOA,E01003014,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003015,120,2.5,50,400,50,40,30,0,30,10,40,0,0,770
LSOA,E01003015,0,0,0,10,0,0,20,0,0,0,2.5,0,0,30
LSOA,E01003015,10,2.5,40,230,40,20,10,0,0,2.5,20,0,0,370
LSOA,E01003015,20,0,10,150,10,10,0,0,0,2.5,10,0,0,210
LSOA,E01003015,40,0,0,2.5,0,10,0,0,10,2.5,20,0,0,80
LSOA,E01003015,20,0,0,0,0,2.5,0,0,10,2.5,0,0,0,40
LSOA,E01003015,2.5,0,0,0,0,2.5,0,0,10,2.5,2.5,0,0,10
LSOA,E01003015,20,0,0,0,0,0,0,0,2.5,0,0,0,0,20
LSOA,E01003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003016,130,2.5,0,0,0,0,0,0,60,370,70,0,2.5,640
LSOA,E01003016,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5
LSOA,E01003016,2.5,2.5,0,0,0,0,0,0,0,2.5,10,0,0,10
LSOA,E01003016,20,0,0,0,0,0,0,0,0,0,20,0,0,40
LSOA,E01003016,60,0,0,0,0,0,0,0,10,2.5,10,0,0,80
LSOA,E01003016,20,0,0,0,0,0,0,0,20,30,10,0,0,80
LSOA,E01003016,20,0,0,0,0,0,0,0,30,130,20,0,2.5,200
LSOA,E01003016,2.5,0,0,0,0,0,0,0,0,170,0,0,0,170
LSOA,E01003016,0,2.5,0,0,0,0,0,0,0,50,0,0,2.5,50
LSOA,E01003017,390,60,110,150,10,30,2.5,2.5,60,20,80,2.5,2.5,920
LSOA,E01003017,2.5,2.5,0,10,0,0,0,0,0,0,0,0,0,10
LSOA,E01003017,170,2.5,70,70,0,0,0,0,30,0,10,0,0,350
LSOA,E01003017,50,40,40,30,10,30,0,0,10,0,2.5,0,0,210
LSOA,E01003017,30,10,2.5,40,0,0,0,0,2.5,0,20,0,2.5,100
LSOA,E01003017,20,2.5,0,2.5,0,0,0,2.5,2.5,2.5,30,2.5,0,60
LSOA,E01003017,120,0,0,0,0,0,2.5,0,20,10,20,0,0,180
LSOA,E01003017,2.5,0,0,0,0,0,0,0,0,10,2.5,0,0,10
LSOA,E01003017,2.5,0,0,0,0,0,0,0,0,2.5,2.5,0,0,2.5
LSOA,E01003018,710,10,2.5,2.5,150,20,20,10,2.5,10,30,20,10,990
LSOA,E01003018,10,0,0,0,2.5,10,0,0,0,0,2.5,0,2.5,20
LSOA,E01003018,50,0,0,0,20,0,2.5,2.5,2.5,0,0,0,2.5,70
LSOA,E01003018,270,10,0,0,130,10,2.5,10,2.5,2.5,20,0,10,450
LSOA,E01003018,230,2.5,0,2.5,0,0,2.5,0,0,2.5,10,20,2.5,270
LSOA,E01003018,90,2.5,2.5,2.5,0,0,20,0,0,0,0,2.5,0,110
LSOA,E01003018,50,0,0,0,0,0,0,0,0,0,10,0,2.5,60
LSOA,E01003018,10,0,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01003018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003019,670,10,60,70,2.5,2.5,0,2.5,2.5,0,100,2.5,10,930
LSOA,E01003019,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003019,20,0,0,60,2.5,2.5,0,0,0,0,0,0,2.5,80
LSOA,E01003019,200,10,2.5,10,0,0,0,2.5,2.5,0,20,0,2.5,240
LSOA,E01003019,210,2.5,2.5,0,0,0,0,0,0,0,50,2.5,2.5,270
LSOA,E01003019,220,0,50,2.5,0,0,0,0,0,0,30,0,0,300
LSOA,E01003019,30,0,0,0,0,0,0,0,0,0,10,2.5,2.5,40
LSOA,E01003019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003020,310,70,40,190,100,10,0,0,0,10,30,0,10,760
LSOA,E01003020,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,2.5
LSOA,E01003020,20,2.5,0,50,60,0,0,0,0,2.5,0,0,2.5,130
LSOA,E01003020,100,2.5,0,140,30,10,0,0,0,0,10,0,2.5,280
LSOA,E01003020,140,10,2.5,0,0,0,0,0,0,2.5,10,0,0,160
LSOA,E01003020,20,50,40,0,10,0,0,0,0,0,2.5,0,2.5,120
LSOA,E01003020,50,2.5,2.5,0,0,0,0,0,0,0,10,0,0,60
LSOA,E01003020,2.5,0,0,0,0,0,0,0,0,0,10,0,0,10
LSOA,E01003020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003021,110,10,2.5,2.5,10,20,440,0,0,40,30,0,2.5,680
LSOA,E01003021,0,0,0,0,0,0,10,0,0,0,0,0,0,10
LSOA,E01003021,2.5,0,0,0,0,2.5,160,0,0,2.5,0,0,0,170
LSOA,E01003021,50,10,0,0,10,10,270,0,0,20,30,0,2.5,380
LSOA,E01003021,50,2.5,0,0,10,10,0,0,0,20,10,0,0,100
LSOA,E01003021,20,0,0,2.5,0,2.5,0,0,0,0,0,0,2.5,20
LSOA,E01003021,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003021,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003021,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5
LSOA,E01003022,400,20,0,80,2.5,60,0,40,130,20,10,10,10,770
LSOA,E01003022,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5
LSOA,E01003022,10,0,0,2.5,0,10,0,0,80,0,0,0,2.5,100
LSOA,E01003022,140,10,0,10,2.5,20,0,0,2.5,20,2.5,0,2.5,210
LSOA,E01003022,90,2.5,0,70,0,30,0,20,40,0,2.5,0,0,250
LSOA,E01003022,100,10,0,2.5,0,0,0,20,2.5,10,2.5,10,2.5,140
LSOA,E01003022,60,0,0,0,0,0,0,0,0,0,0,2.5,0,60
LSOA,E01003022,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003022,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01003023,490,20,20,110,60,90,2.5,110,30,2.5,120,30,30,1110
LSOA,E01003023,20,2.5,0,10,0,0,0,0,0,0,2.5,0,2.5,30
LSOA,E01003023,20,2.5,2.5,70,0,50,0,0,30,2.5,2.5,0,10,190
LSOA,E01003023,260,10,20,30,60,40,0,50,0,0,20,10,10,510
LSOA,E01003023,140,10,0,0,0,2.5,2.5,50,0,0,90,10,10,310
LSOA,E01003023,40,0,0,0,0,0,0,10,0,0,10,2.5,2.5,60
LSOA,E01003023,10,0,0,0,0,0,0,0,0,0,0,0,2.5,10
LSOA,E01003023,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5
LSOA,E01003023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003024,30,0,60,160,360,140,0,0,0,0,30,2.5,10,780
LSOA,E01003024,0,0,2.5,20,50,10,0,0,0,0,2.5,0,0,80
LSOA,E01003024,10,0,30,140,290,50,0,0,0,0,2.5,0,2.5,520
LSOA,E01003024,10,0,30,2.5,10,80,0,0,0,0,20,0,2.5,160
LSOA,E01003024,10,0,0,0,0,0,0,0,0,0,10,2.5,2.5,20
LSOA,E01003024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003025,270,2.5,10,120,90,220,110,2.5,0,0,40,10,2.5,860
LSOA,E01003025,10,0,0,10,0,2.5,0,0,0,0,0,0,0,20
LSOA,E01003025,2.5,0,0,100,90,90,50,0,0,0,0,0,2.5,330
LSOA,E01003025,100,0,0,0,0,50,50,0,0,0,10,0,0,200
LSOA,E01003025,70,2.5,0,0,0,80,10,0,0,0,2.5,10,0,170
LSOA,E01003025,10,0,10,10,0,0,0,0,0,0,20,0,0,50
LSOA,E01003025,70,0,2.5,2.5,0,0,0,2.5,0,0,10,0,2.5,80
LSOA,E01003025,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003025,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.5
LSOA,E01003026,490,10,0,2.5,10,20,2.5,50,10,70,2.5,2.5,10,680
LSOA,E01003026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003026,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,10
LSOA,E01003026,30,0,0,0,10,20,0,20,0,20,0,0,2.5,100
LSOA,E01003026,120,2.5,0,2.5,0,2.5,0,20,0,40,0,0,10,190
LSOA,E01003026,180,2.5,0,0,0,0,2.5,2.5,10,10,2.5,0,2.5,210
LSOA,E01003026,30,0,0,2.5,0,0,0,0,2.5,2.5,0,0,2.5,30
LSOA,E01003026,130,2.5,0,0,0,0,0,0,0,0,2.5,2.5,0,130
LSOA,E01003026,10,0,0,0,0,0,0,0,0,0,2.5,0,0,10
LSOA,E01003027,430,40,0,30,0,0,0,2.5,0,0,20,0,2.5,520
LSOA,E01003027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01003027,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01003027,20,10,0,0,0,0,0,0,0,0,0,0,0,30
LSOA,E01003027,70,2.5,0,0,0,0,0,0,0,0,10,0,2.5,80
LSOA,E01003027,60,10,0,2.5,0,0,0,2.5,0,0,0,0,0,70
LSOA,E01003027,20,0,0,30,0,0,0,2.5,0,0,0,0,0,50
LSOA,E01003027,270,20,0,0,0,0,0,0,0,0,10,0,2.5,300
