G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LAUA,E09000003,2700,4480,4560,5090,2460,1990,1980,2050,2270,1530,2360,1790,110,33350
LAUA,E09000003,2050,4280,3420,11710,640,850,1090,840,900,1300,2150,820,70,30120
LAUA,E09000003,910,3490,3900,6070,580,580,580,390,520,990,710,430,40,19190
LAUA,E09000003,480,3250,3260,4590,680,780,360,370,570,510,510,300,60,15700
LAUA,E09000003,120,690,700,1190,80,250,130,80,120,170,290,160,50,4030
LAUA,E09000004,6530,3930,3870,37570,6100,9840,6950,7280,5680,3410,2420,2070,750,96400
LAUA,E09000004,160,80,10,40,220,600,1500,1320,200,40,20,10,40,4230
LAUA,E09000004,750,340,150,540,810,1760,910,1940,1740,740,240,290,210,10410
LAUA,E09000004,3480,2260,1600,4790,2260,3060,2400,2630,2650,1430,1070,1100,200,28940
LAUA,E09000004,1210,750,930,15500,1780,2160,1270,870,500,910,710,350,90,27060
LAUA,E09000004,490,260,800,13470,740,1700,600,320,170,140,240,240,90,19260
LAUA,E09000004,230,130,250,2780,200,400,190,150,190,60,80,50,60,4770
LAUA,E09000004,210,120,120,440,90,150,70,50,230,90,50,20,50,1680
LAUA,E09000004,10,2.5,2.5,10,2.5,2.5,2.5,0,10,0,10,10,10,50
LAUA,E09000005,26640,10330,14120,28250,3340,3050,4070,4140,4480,3900,8170,4270,140,114890
LAUA,E09000005,1760,380,210,280,50,60,430,190,70,30,100,430,10,3980
LAUA,E09000005,3150,480,380,2170,380,1020,1310,1340,800,360,890,280,20,12580
LAUA,E09000005,9940,2710,2100,5150,1210,1350,1630,1570,2630,1920,2710,1500,60,34470
LAUA,E09000005,7190,3610,5380,6960,970,450,560,770,800,1050,2970,1730,20,32460
LAUA,E09000005,3090,2120,4100,9670,350,70,100,220,130,320,1120,260,30,21590
LAUA,E09000005,940,660,1230,2540,170,50,20,40,10,180,330,50,2.5,6230
LAUA,E09000005,520,360,650,1390,200,50,20,10,20,50,40,20,2.5,3330
LAUA,E09000005,40,10,70,90,10,2.5,0,2.5,10,10,10,2.5,2.5,250
LAUA,E09000006,16790,6980,5950,36790,12050,13120,12950,11370,8010,2840,6410,3090,1220,137560
LAUA,E09000006,280,90,30,50,290,50,170,370,320,20,70,30,110,1880
LAUA,E09000006,2580,560,150,900,1210,960,790,1310,840,140,290,80,120,9930
LAUA,E09000006,5160,1830,950,3800,2260,2670,3170,3160,2730,540,1260,860,270,28660
LAUA,E09000006,5410,2280,1840,6310,5250,2550,4150,3040,1520,870,1490,740,210,35660
LAUA,E09000006,1380,970,1360,13410,1610,3080,2140,1290,840,450,1390,670,160,28750
LAUA,E09000006,990,600,880,7410,820,2250,1220,1090,770,350,980,320,110,17790
LAUA,E09000006,870,590,650,4610,560,1490,1260,1050,920,410,650,210,170,13460
LAUA,E09000006,120,60,90,300,50,50,40,60,90,70,270,160,80,1440
