"","flow","lon_o","lat_o","lon_d","lat_d"
"208",43,5.32482703977,1.81269310018,5.38444914421,1.62846114182
"209",148,5.32482703977,1.81269310018,5.34727797053,1.63050354273
"210",138,5.32482703977,1.81269310018,5.36837156901,1.62597566547
"211",27,5.32482703977,1.81269310018,5.38929924939,1.61702702203
"212",305,5.32482703977,1.81269310018,5.31591730137,1.61727939764
"213",141,5.32482703977,1.81269310018,5.31908232795,1.60010450387
"214",179,5.32482703977,1.81269310018,5.32901026671,1.59360424241
"215",159,5.32482703977,1.81269310018,5.29297579408,1.58415204042
"216",122,5.32482703977,1.81269310018,5.31288494389,1.57493753446
"217",97,5.32482703977,1.81269310018,5.16115286632,1.84605835356
"218",81,5.32482703977,1.81269310018,5.1281111719,1.84719803081
"219",72,5.32482703977,1.81269310018,5.13513625429,1.84311712264
"220",54,5.32482703977,1.81269310018,5.17115124981,1.83641453269
"221",81,5.32482703977,1.81269310018,5.14849871965,1.83450804272
"222",102,5.32482703977,1.81269310018,5.16404142892,1.83154453084
"223",33,5.32482703977,1.81269310018,5.12126561213,1.83472979274
"224",37,5.32482703977,1.81269310018,5.11049557067,1.83260909525
"225",59,5.32482703977,1.81269310018,5.13270065652,1.83043202999
"226",147,5.32482703977,1.81269310018,5.18590907815,1.82584164831
"227",56,5.32482703977,1.81269310018,5.14313552855,1.82267504941
"228",162,5.32482703977,1.81269310018,5.17447356623,1.82241337335
"229",193,5.32482703977,1.81269310018,5.20555720876,1.82146418189
"230",58,5.32482703977,1.81269310018,5.15509175856,1.818066163
"231",57,5.32482703977,1.81269310018,5.12942900193,1.81530974676
"232",152,5.32482703977,1.81269310018,5.1633716249,1.81673874974
"233",275,5.32482703977,1.81269310018,5.17058992672,1.81147141896
"234",70,5.32482703977,1.81269310018,5.15086665737,1.81133567708
"235",58,5.32482703977,1.81269310018,5.13080939797,1.80523113941
"236",196,5.32482703977,1.81269310018,5.21268560043,1.8060151989
"237",149,5.32482703977,1.81269310018,5.20204787478,1.80382541435
"238",53,5.32482703977,1.81269310018,5.12057906528,1.80172584886
"239",237,5.32482703977,1.81269310018,5.19074216564,1.8024302335
"240",164,5.32482703977,1.81269310018,5.16301892457,1.80205883604
"241",53,5.32482703977,1.81269310018,5.14141204268,1.79943469208
"242",89,5.32482703977,1.81269310018,5.15426296963,1.79966503778
"243",234,5.32482703977,1.81269310018,5.17989180852,1.79833514911
"244",207,5.32482703977,1.81269310018,5.17110556513,1.79801115344
"245",83,5.32482703977,1.81269310018,5.19923489562,1.79634951298
"246",285,5.32482703977,1.81269310018,5.21011232052,1.79495388111
"247",100,5.32482703977,1.81269310018,5.16060915397,1.79218491342
"248",42,5.32482703977,1.81269310018,5.11774124111,1.79137282049
"249",52,5.32482703977,1.81269310018,5.13076310543,1.78919336253
"250",153,5.32482703977,1.81269310018,5.17372002656,1.78870163317
