"","origin_i","origin_msoacode","destination_j","destination_msoacode","car","OD","bus","rail","flow","lon_o","lat_o","lon_d","lat_d","cluster"
"21",186,"E02000192",187,"E02000193",1,"E02000192E02000193",8,6,15,5.3101248817,1.81974945218,5.3036714957,1.81625483058,2
"22",186,"E02000192",939,"E02000972",5,"E02000192E02000972",14,6,25,5.3101248817,1.81974945218,5.2918060312,1.81227810857,2
"23",186,"E02000192",944,"E02000977",2,"E02000192E02000977",1,2,5,5.3101248817,1.81974945218,5.29630668651,1.80417984158,2
"24",186,"E02000192",946,"E02000979",1,"E02000192E02000979",3,8,12,5.3101248817,1.81974945218,5.29590986513,1.79421287787,2
"25",187,"E02000193",944,"E02000977",3,"E02000193E02000977",9,9,21,5.3036714957,1.81625483058,5.29630668651,1.80417984158,2
"26",187,"E02000193",946,"E02000979",4,"E02000193E02000979",22,29,55,5.3036714957,1.81625483058,5.29590986513,1.79421287787,2
"27",187,"E02000193",6711,"E02006854",2,"E02000193E02006854",1,47,50,5.3036714957,1.81625483058,5.37419614025,1.80220296678,2
"28",245,"E02000252",946,"E02000979",1,"E02000252E02000979",2,4,7,5.20555720876,1.82146418189,5.29590986513,1.79421287787,2
"29",356,"E02000371",187,"E02000193",1,"E02000371E02000193",11,2,14,5.33180882373,1.82696590372,5.3036714957,1.81625483058,2
"30",356,"E02000371",939,"E02000972",1,"E02000371E02000972",19,14,34,5.33180882373,1.82696590372,5.2918060312,1.81227810857,2
"31",356,"E02000371",944,"E02000977",2,"E02000371E02000977",3,13,18,5.33180882373,1.82696590372,5.29630668651,1.80417984158,2
"32",356,"E02000371",946,"E02000979",1,"E02000371E02000979",3,6,10,5.33180882373,1.82696590372,5.29590986513,1.79421287787,2
"33",356,"E02000371",6711,"E02006854",1,"E02000371E02006854",7,19,27,5.33180882373,1.82696590372,5.37419614025,1.80220296678,2
"34",357,"E02000372",187,"E02000193",1,"E02000372E02000193",5,9,15,5.22362445939,1.81818586566,5.3036714957,1.81625483058,2
"35",360,"E02000375",946,"E02000979",2,"E02000375E02000979",1,2,5,5.23324627531,1.80258097213,5.29590986513,1.79421287787,2
"36",361,"E02000376",946,"E02000979",1,"E02000376E02000979",3,3,7,5.22918814108,1.79823921613,5.29590986513,1.79421287787,2
"37",369,"E02000384",187,"E02000193",2,"E02000384E02000193",1,8,11,5.23209744117,1.78531339245,5.3036714957,1.81625483058,2
"38",369,"E02000384",939,"E02000972",3,"E02000384E02000972",3,11,17,5.23209744117,1.78531339245,5.2918060312,1.81227810857,2
"39",391,"E02000407",939,"E02000972",1,"E02000407E02000972",1,1,3,5.33545999125,1.90231180418,5.2918060312,1.81227810857,2
"40",536,"E02000557",946,"E02000979",1,"E02000557E02000979",1,1,3,5.29276731138,1.86620004946,5.29590986513,1.79421287787,2
"41",543,"E02000564",187,"E02000193",1,"E02000564E02000193",19,1,21,5.3089310178,1.85447474692,5.3036714957,1.81625483058,2
"42",552,"E02000573",939,"E02000972",2,"E02000573E02000972",4,5,11,5.31667369719,1.83447000562,5.2918060312,1.81227810857,2
"43",553,"E02000574",187,"E02000193",1,"E02000574E02000193",3,1,5,5.30953610524,1.83055090946,5.3036714957,1.81625483058,2
"44",554,"E02000575",187,"E02000193",3,"E02000575E02000193",8,6,17,5.31606973258,1.82381685225,5.3036714957,1.81625483058,2
"45",554,"E02000575",944,"E02000977",3,"E02000575E02000977",11,11,25,5.31606973258,1.82381685225,5.29630668651,1.80417984158,2
"46",554,"E02000575",946,"E02000979",2,"E02000575E02000979",2,9,13,5.31606973258,1.82381685225,5.29590986513,1.79421287787,2
"47",555,"E02000576",187,"E02000193",1,"E02000576E02000193",19,9,29,5.32460793283,1.82360661789,5.3036714957,1.81625483058,2
"48",555,"E02000576",944,"E02000977",3,"E02000576E02000977",2,28,33,5.32460793283,1.82360661789,5.29630668651,1.80417984158,2
"49",555,"E02000576",946,"E02000979",1,"E02000576E02000979",1,18,20,5.32460793283,1.82360661789,5.29590986513,1.79421287787,2
"50",555,"E02000576",6711,"E02006854",2,"E02000576E02006854",7,39,48,5.32460793283,1.82360661789,5.37419614025,1.80220296678,2
"51",559,"E02000580",939,"E02000972",1,"E02000580E02000972",1,4,6,5.24598799862,1.8134379296,5.2918060312,1.81227810857,2
"52",559,"E02000580",946,"E02000979",1,"E02000580E02000979",1,2,4,5.24598799862,1.8134379296,5.29590986513,1.79421287787,2
"53",561,"E02000582",939,"E02000972",1,"E02000582E02000972",1,6,8,5.25058188533,1.80708242685,5.2918060312,1.81227810857,2
